,doc_id,author,authoryearofbirth,authoryearofdeath,no_words,len,Gut_id
0,The Keeper of the Door,"Dell, Ethel M. (Ethel May)",1881.0,1939.0,165902,165902,Gut_3574
0,Rosa Mundi and Other Stories,"Dell, Ethel M. (Ethel May)",1881.0,1939.0,87396,87396,Gut_2694
0,The Advance of Science in the Last Half-Century,"Huxley, Thomas Henry",1825.0,1895.0,22255,22255,Gut_3746
0,A Garden of Peace: A Medley in Quietude,"Moore, Frank Frankfort",1855.0,1931.0,74362,74362,Gut_32228
0,Maxims for Revolutionists,"Shaw, Bernard",1856.0,1950.0,3572,3572,Gut_11896
0,The Crayfish: An Introduction to the Study of Zoology.,"Huxley, Thomas Henry",1825.0,1895.0,85917,85917,Gut_37568
0,The Duchess of Trajetto,"Manning, Anne",1807.0,1879.0,43980,43980,Gut_24943
0,"Burgoyne's Invasion of 1777: With an outline sketch of the American Invasion of Canada, 1775-76.","Drake, Samuel Adams",1833.0,1905.0,28852,28852,Gut_15638
0,Aunt Fanny's Story-Book for Little Boys and Girls,"Fanny, Aunt",1822.0,1894.0,23369,23369,Gut_13709
0,Under the Country Sky,"Richmond, Grace S. (Grace Smith)",1866.0,1959.0,77849,77849,Gut_7776
0,Cleopatra — Volume 03,"Ebers, Georg",1837.0,1898.0,14383,14383,Gut_34319
0,The Range Boss,"Seltzer, Charles Alden",1875.0,1942.0,68526,68526,Gut_11608
0,"From the Easy Chair, Volume 2","Curtis, George William",1824.0,1892.0,38034,38034,Gut_19657
0,The Two Elsies: A Sequel to Elsie at Nantucket,"Finley, Martha",1828.0,1909.0,63768,63768,Gut_2431
0,The Iron Arrow Head or The Buckler Maiden: A Tale of the Northman Invasion,"Sue, Eugène",1804.0,1857.0,36021,36021,Gut_18382
0,Life of Harriet Beecher Stowe: Compiled From Her Letters and Journals by Her Son Charles Edward Stowe,"Stowe, Harriet Beecher",1811.0,1896.0,153104,153104,Gut_39465
0,The Arabian Nights Entertainments,"Lang, Andrew",1844.0,1912.0,111586,111586,Gut_2055
0,"Wear and Tear; Or, Hints for the Overworked","Mitchell, S. Weir (Silas Weir)",1829.0,1914.0,14792,14792,Gut_2293
0,Midnight In Beauchamp Row: 1895,"Green, Anna Katharine",1846.0,1935.0,4861,4861,Gut_9449
0,A Little World,"Fenn, George Manville",1831.0,1909.0,146774,146774,Gut_18144
0,"Travels in Morocco, Volume 1.","Richardson, James",1806.0,1851.0,51768,51768,Gut_195
0,The Poacher's Wife,"Phillpotts, Eden",1862.0,1960.0,65980,65980,Gut_34345
0,Round the Corner in Gay Street,"Richmond, Grace S. (Grace Smith)",1866.0,1959.0,73117,73117,Gut_25005
0,The Deserted City,"Sherman, Francis",1871.0,1926.0,2269,2269,Gut_25237
0,Savva and the Life of Man: Two plays by Leonid Andreyev,"Andreyev, Leonid",1871.0,1919.0,50785,50785,Gut_2258
0,The Claw,"Stockley, Cynthia",1883.0,1936.0,106728,106728,Gut_20745
0,Twice-Told Tales,"Hawthorne, Nathaniel",1804.0,1864.0,84868,84868,Gut_31405
0,Stella Maris,"Locke, William John",1863.0,1930.0,102161,102161,Gut_33736
0,"The Ladies Lindores, Vol. 1 (of 3)","Oliphant, Mrs. (Margaret)",1828.0,1897.0,70335,70335,Gut_28970
0,The Ways of Life: Two Stories,"Oliphant, Mrs. (Margaret)",1828.0,1897.0,66437,66437,Gut_34721
0,My Reminiscences,"Tagore, Rabindranath",1861.0,1941.0,61254,61254,Gut_9012
0,"The Knights of England, France, and Scotland","Herbert, Henry William",1807.0,1858.0,132466,132466,Gut_36082
0,Osage Traditions,"Dorsey, James Owen",1848.0,1895.0,11296,11296,Gut_6866
0,The Adventures of Harry Richmond — Volume 2,"Meredith, George",1828.0,1909.0,29164,29164,Gut_26674
0,The Valiant Runaways,"Atherton, Gertrude Franklin Horn",1857.0,1948.0,45975,45975,Gut_20583
0,Tip Lewis and His Lamp,Pansy,1841.0,1930.0,49770,49770,Gut_41786
0,Careers of Danger and Daring,"Moffett, Cleveland",1863.0,1926.0,101311,101311,Gut_17301
0,Sylvia's Marriage: A Novel,"Sinclair, Upton",1878.0,1968.0,74434,74434,Gut_36886
0,"The Rise of the Dutch Kingdom, 1795-1813: A Short Account of the Early Development of the Modern Kingdom of the Netherlands","Van Loon, Hendrik Willem",1882.0,1944.0,50049,50049,Gut_21831
0,"Christie, the King's Servant: A Sequel to ""Christie's Old Organ""","Walton, O. F., Mrs.",1849.0,1939.0,32309,32309,Gut_502
0,Expositions of Holy Scripture: St. John Chapters I to XIV,"Maclaren, Alexander",1826.0,1910.0,237966,237966,Gut_40698
0,The Malefactor,"Oppenheim, E. Phillips (Edward Phillips)",1866.0,1946.0,71955,71955,Gut_2260
0,The Altar of the Dead,"James, Henry",1843.0,1916.0,14706,14706,Gut_39234
0,"Speeches & Letters of Abraham Lincoln, 1832-1865","Lincoln, Abraham",1809.0,1865.0,90179,90179,Gut_3379
0,Partners: A Novel.,"Werner, E.",1838.0,1918.0,34908,34908,Gut_18940
0,The Inhabited,"Wilson, Richard",1920.0,1987.0,7139,7139,Gut_15809
0,"The Seats of the Mighty, Volume 3","Parker, Gilbert",1862.0,1932.0,25500,25500,Gut_39039
0,Stories Of Ohio,"Howells, William Dean",1837.0,1920.0,73350,73350,Gut_8301
0,Tanglewood Tales,"Hawthorne, Nathaniel",1804.0,1864.0,63657,63657,Gut_32287
0,"Dave Porter At Bear Camp; Or, The Wild Man of Mirror Lake","Stratemeyer, Edward",1862.0,1930.0,65463,65463,Gut_14577
0,The Saracen: The Holy War,"Shea, Robert",1933.0,1994.0,149409,149409,Gut_13560
0,Macleod of Dare,"Black, William",1841.0,1898.0,165483,165483,Gut_3983
0,Select Poems of Sidney Lanier,"Lanier, Sidney",1842.0,1881.0,36430,36430,Gut_1615
0,"Paul Gosslett's Confessions in Love, Law, and The Civil Service","Lever, Charles James",1806.0,1872.0,27483,27483,Gut_18949
0,The Lost Manuscript: A Novel,"Freytag, Gustav",1816.0,1895.0,277877,277877,Gut_17901
0,Wanderers,"Hamsun, Knut",1859.0,1952.0,96239,96239,Gut_40468
0,The Land of the Kangaroo: Adventures of Two Youths in a Journey through the Great Island Continent,"Knox, Thomas Wallace",1835.0,1896.0,87322,87322,Gut_10318
0,Dave Dawson with the Commandos,"Bowen, Robert Sidney",1900.0,1977.0,48915,48915,Gut_24911
0,"Religious Studies, Sketches and Poems","Stowe, Harriet Beecher",1811.0,1896.0,106475,106475,Gut_29400
0,The Rangeland Avenger,"Brand, Max",1892.0,1944.0,76934,76934,Gut_396
